,open,close,high,low,volume,open interest
20170426,2554,2532,2568,2494,881824,440726
20170427,2530,2586,2588,2512,768826,436702
20170428,2564,2638,2648,2562,837834,431722
20170502,2636,2634,2646,2606,370132,447732
20170503,2640,2634,2646,2614,489678,454340
20170504,2624,2534,2628,2480,1017558,404394
20170505,2520,2418,2532,2412,1054616,470550
20170508,2430,2456,2488,2430,652098,446198
20170509,2442,2468,2478,2432,506390,463628
20170510,2460,2456,2488,2438,724454,466522
20170511,2468,2486,2506,2446,970482,482558
20170512,2486,2458,2498,2410,916918,494408
20170515,2460,2518,2524,2448,698732,475114
20170516,2538,2554,2556,2506,632034,480300
20170517,2554,2542,2566,2528,588694,456336
20170518,2550,2550,2568,2502,815148,475900
20170519,2534,2596,2606,2520,872552,489584
20170522,2602,2600,2626,2582,682824,509826
20170523,2604,2518,2624,2512,1009130,510182
20170524,2518,2516,2536,2476,671976,508694
20170525,2504,2570,2590,2504,731192,509422
20170526,2548,2474,2560,2442,820480,483474
20170531,2476,2342,2488,2322,732080,556946
20170601,2332,2354,2372,2318,479544,555638
20170602,2348,2314,2358,2308,589550,589112
20170605,2308,2346,2364,2292,553922,558402
20170606,2328,2372,2384,2316,632932,553672
20170607,2368,2364,2382,2350,467468,556006
20170608,2356,2350,2366,2318,726104,553486
20170609,2340,2332,2364,2324,467456,566458
20170612,2336,2340,2362,2310,665564,599636
20170613,2350,2318,2370,2306,772360,638888
20170614,2312,2326,2330,2262,1212004,645932
20170615,2326,2292,2340,2286,863914,660724
20170616,2288,2304,2320,2274,660490,663754
20170619,2312,2302,2320,2258,895938,679304
20170620,2306,2316,2330,2294,792662,698542
20170621,2290,2266,2312,2246,1070740,785416
20170622,2274,2250,2284,2238,872010,777942
20170623,2258,2264,2274,2248,491608,751318
20170626,2264,2280,2288,2244,574548,726126
20170627,2278,2294,2294,2260,554676,725164
20170628,2298,2302,2324,2290,689450,697422
20170629,2310,2342,2360,2300,1086858,690214
20170630,2350,2352,2362,2330,546400,675358
20170703,2352,2366,2384,2350,724374,681384
20170704,2368,2330,2392,2304,793870,678866
20170705,2330,2368,2376,2328,623604,666816
20170706,2354,2374,2376,2328,734262,678930
20170707,2378,2376,2412,2360,966554,705408
20170710,2374,2376,2398,2346,740708,687948
20170711,2370,2448,2472,2370,1049926,726576
20170712,2444,2452,2494,2438,866896,692584
20170713,2452,2476,2480,2430,745350,705890
20170714,2484,2514,2534,2450,1233954,709618
20170717,2518,2574,2584,2510,983528,663390
20170718,2572,2564,2596,2552,649900,635592
20170719,2576,2596,2608,2576,606816,640036
20170720,2598,2574,2618,2570,890886,616022
20170721,2584,2548,2588,2524,823928,553234
20170724,2538,2558,2568,2516,593742,555922
20170725,2566,2644,2654,2560,991876,577056
20170726,2654,2626,2670,2614,924110,526018
20170727,2634,2650,2676,2618,665126,511688
20170728,2644,2598,2662,2568,846168,439568
20170731,2606,2670,2676,2600,640262,400392
20170801,2660,2656,2688,2644,475872,375280
20170802,2644,2620,2656,2596,461956,341574
20170803,2626,2570,2632,2560,369956,303820
20170804,2690,2678,2742,2660,637956,498622
20170807,2686,2646,2718,2614,854850,504488
20170808,2646,2678,2678,2628,589648,528442
20170809,2678,2718,2736,2674,840446,576792
20170810,2728,2726,2766,2694,742538,560972
20170811,2742,2584,2748,2576,1194362,535070
20170814,2590,2594,2618,2586,505194,543930
20170815,2588,2614,2638,2586,793628,567816
20170816,2608,2626,2632,2594,477186,588106
20170817,2626,2682,2698,2624,911802,628244
20170818,2672,2716,2720,2666,698308,657350
20170821,2722,2716,2738,2688,749344,660416
20170822,2716,2722,2728,2656,658716,676586
20170823,2716,2688,2772,2666,1340714,721536
20170824,2688,2740,2746,2678,836432,742970
20170825,2742,2756,2798,2714,1084952,754562
