,open,close,high,low,volume,open interest
20170426,2955,2967,3032,2934,5939958,3046648
20170427,2970,3016,3018,2958,4814822,3152884
20170428,3035,3115,3116,3026,6604372,3301826
20170502,3152,3134,3160,3105,3349462,3394692
20170503,3143,3131,3151,3094,4945434,3672130
20170504,3120,2931,3126,2904,10040322,3344158
20170505,2949,2931,2955,2891,7220490,3396782
20170508,2948,3004,3049,2933,9812676,3584572
20170509,2998,3016,3035,2980,6250494,3705088
20170510,3009,3077,3084,3005,7391280,3791240
20170511,3084,3060,3108,2962,10250286,3700338
20170512,3068,2941,3078,2939,9412260,3922756
20170515,2950,2991,3032,2925,7079212,3777186
20170516,2997,2999,3005,2958,5715242,3792070
20170517,3005,3110,3118,2993,8553152,4042906
20170518,3111,3144,3159,3080,7669748,4272028
20170519,3118,3244,3249,3095,9364778,4357650
20170522,3254,3342,3385,3246,9224152,4515004
20170523,3349,3295,3356,3285,6647362,4416246
20170524,3288,3246,3317,3191,9760882,4330496
20170525,3247,3219,3298,3210,9362346,4141028
20170526,3221,3240,3249,3172,7427212,4039408
20170531,3248,3095,3273,3089,6663064,3993662
20170601,3102,3092,3127,3057,7377354,4116502
20170602,3098,3026,3108,3021,9046274,4174198
20170605,3010,2939,3055,2938,7983244,4259372
20170606,2928,2959,2973,2906,6740960,4112454
20170607,2959,2962,2996,2935,6244994,4237182
20170608,2968,2968,3025,2924,9025802,4077740
20170609,2968,3017,3021,2954,6275936,4086840
20170612,3030,3033,3051,3000,6298340,4090012
20170613,3035,2935,3045,2932,5864856,4316160
20170614,2935,3084,3086,2930,8388128,4100690
20170615,3080,3111,3124,3023,8854462,4169474
20170616,3105,3091,3156,3075,7986648,3921532
20170619,3100,3140,3185,3093,7269176,3884594
20170620,3144,3109,3150,3084,6469594,3918006
20170621,3099,3069,3100,3034,6953398,3881838
20170622,3079,3031,3123,3030,8068116,3860464
20170623,3037,3104,3110,3034,6795422,3837146
20170626,3105,3148,3149,3088,6297226,3909278
20170627,3152,3224,3225,3132,6593804,4064658
20170628,3226,3279,3291,3224,6083548,4243248
20170629,3288,3297,3330,3252,8409380,4287144
20170630,3291,3347,3355,3273,7499712,4577550
20170703,3341,3413,3415,3333,7327914,4727336
20170704,3405,3360,3448,3341,7666870,4533484
20170705,3370,3420,3474,3369,8665272,4535336
20170706,3400,3417,3423,3345,7893368,4552136
20170707,3421,3428,3432,3353,7705736,4507758
20170710,3435,3442,3479,3405,6567710,4569212
20170711,3438,3565,3597,3429,7074976,4711298
20170712,3565,3575,3615,3553,5648724,4709702
20170713,3580,3657,3660,3560,6170360,4832902
20170714,3658,3551,3658,3528,8422600,4367644
20170717,3535,3627,3668,3534,6886134,4403500
20170718,3627,3586,3652,3573,6543818,4374682
20170719,3598,3679,3688,3583,6243064,4361042
20170720,3667,3496,3675,3488,8574736,3954248
20170721,3510,3525,3547,3467,6661080,3777024
20170724,3528,3516,3566,3455,5893656,3864674
20170725,3523,3568,3590,3485,6185898,3752382
20170726,3579,3568,3639,3547,6233630,3421350
20170727,3555,3570,3599,3504,6196006,3389820
20170728,3566,3558,3595,3530,5509860,3201420
20170731,3565,3733,3740,3559,6960054,3091474
20170801,3710,3698,3759,3693,4104670,2894894
20170802,3695,3725,3748,3662,3965622,2768436
20170803,3715,3776,3791,3702,4027018,2628888
20170804,3780,3882,3899,3765,3464504,2459486
20170807,3880,4079,4101,3866,4377190,2102350
20170808,3921,3884,3996,3841,6067812,2375240
20170809,3891,4006,4008,3867,7154166,2670588
20170810,3988,3964,4016,3915,7482000,2782816
20170811,3945,3862,3993,3812,9155740,2901410
20170814,3861,3807,3894,3786,7245232,3259910
20170815,3800,3747,3809,3695,4333142,3349820
20170816,3742,3707,3769,3696,3306254,3375502
20170817,3726,3809,3860,3721,5557758,3285680
20170818,3800,3895,3900,3776,3634340,3194436
20170821,3868,3962,3994,3803,4277788,3285512
20170822,3970,3933,3998,3887,3381224,3249920
20170823,3918,3779,3918,3710,5422838,3506930
20170824,3779,3858,3880,3746,4439100,3273082
20170825,3855,3930,3978,3846,4113372,3107668
20170828,3920,3932,3960,3805,4434592,3240038
20170829,3926,3882,3950,3839,4324476,3337800
20170830,3885,3868,3908,3808,4006358,3271128
20170831,3854,3927,3929,3782,5042166,3623044
20170901,3915,4062,4097,3903,5397808,3874380
20170904,4060,4060,4194,4040,4660264,3722486
20170905,4060,4084,4127,4051,3474268,3731902
20170906,4081,3986,4137,3983,4279668,3764716
20170907,3998,3958,4027,3934,4500946,3658508
20170908,3951,3916,4038,3887,5079692,3633306
20170911,3912,3915,3946,3835,3909502,3502388
20170912,3915,3959,3965,3878,4357690,3525144
20170913,3951,3914,4001,3900,4162678,3538916
