,open,close,high,low,volume,open interest
20170426,14610,14510,14935,14465,823822,315106
20170427,14550,14610,14630,14380,764790,322398
20170428,14595,14760,14960,14470,771302,310258
20170502,14850,15245,15345,14700,505904,325246
20170503,15200,15095,15285,15035,507724,329930
20170504,15000,14080,15000,14080,813816,334670
20170505,14005,13600,14100,13555,737360,345448
20170508,13735,13565,13940,13520,743100,356786
20170509,13560,13630,13710,13410,719780,365416
20170510,13630,13305,13790,13225,812882,381290
20170511,13395,13725,13780,13310,874664,371592
20170512,13815,13540,13870,13360,786958,363308
20170515,13560,13715,13850,13470,636892,367820
20170516,13785,13925,13935,13500,824104,388066
20170517,13995,13785,14030,13710,816296,378846
20170518,13725,13490,13810,13325,856814,385002
20170519,13285,13775,13900,13185,914914,385564
20170522,13805,13850,14290,13740,1075250,381356
20170523,13895,13960,14360,13845,985258,380918
20170524,13960,13700,14180,13555,937816,382370
20170525,13595,13750,13955,13585,804422,382836
20170526,13750,13465,13850,13390,596938,409060
20170531,13290,12510,13610,12510,669312,426754
20170601,12525,12480,12635,12350,508038,424872
20170602,12500,12405,12595,12350,490404,432432
20170605,12310,12530,12675,12270,550380,440514
20170606,12410,12455,12605,12360,568080,436216
20170607,12400,12550,12650,12320,676180,456582
20170608,12505,12405,12555,12215,695058,467026
20170609,12450,12475,12600,12410,463774,457114
20170612,12490,12675,12790,12435,581414,472512
20170613,12705,12325,12765,12255,504400,468940
20170614,12350,12900,12980,12320,835854,475100
20170615,12905,12845,12965,12685,594424,454764
20170616,12805,12875,13140,12755,636620,451970
20170619,12870,12690,12940,12510,661010,458542
20170620,12680,12630,12815,12370,591338,455542
20170621,12510,12565,12620,12410,477884,444876
20170622,12630,12410,12825,12350,635878,469982
20170623,12430,12670,12735,12400,566676,446326
20170626,12710,12730,12820,12530,452040,438752
20170627,12685,12955,12960,12650,517804,451316
20170628,13000,13080,13200,12910,591554,451418
20170629,13055,13500,13680,12970,883624,473082
20170630,13520,13335,13550,13210,545024,452708
20170703,13340,13500,13570,13335,513074,456138
20170704,13510,12715,13560,12625,788708,459880
20170705,12750,12830,12925,12730,498180,448148
20170706,12765,12900,12935,12635,526846,449658
20170707,12900,12885,13045,12690,555216,455068
20170710,12820,12690,12945,12520,698240,474676
20170711,12660,12910,13015,12570,666544,478294
20170712,12870,13235,13420,12835,893966,487320
20170713,13185,13245,13310,13075,582052,483026
20170714,13270,13455,13495,13010,902542,503488
20170717,13465,13495,13720,13380,832902,485782
20170718,13495,13460,13675,13305,746528,473710
20170719,13490,14045,14070,13420,872474,483328
20170720,14065,14035,14320,13940,812150,447460
20170721,14010,13970,14105,13720,691752,431116
20170724,13925,13515,13975,13360,639658,428290
20170725,13500,13640,13820,13415,545874,418744
20170726,13690,13420,13850,13310,681534,430406
20170727,13400,13480,13540,13325,384880,394310
20170728,13480,12500,13600,12500,686942,364704
20170731,12500,12545,12625,12305,421674,286854
20170801,12505,12430,12620,12400,220726,273360
20170802,15250,15235,15460,15010,650548,295388
20170803,15225,15245,15395,15150,539160,302916
20170804,15290,15705,15870,15155,790104,322866
20170807,15710,16030,16305,15705,847940,325008
20170808,16040,16070,16240,15800,749864,335632
20170809,16090,16615,16750,15990,916844,355952
20170810,16635,16460,16730,16320,768906,362356
20170811,16435,15935,16630,15615,1120384,347966
20170814,15980,15920,16150,15805,645622,350486
20170815,15905,16215,16320,15660,986582,369766
20170816,16200,16265,16395,16110,745886,368166
20170817,16315,16435,16990,16285,1112480,375492
20170818,16400,16580,16660,16110,832842,378644
20170821,16580,16585,16770,16350,998940,388256
20170822,16600,16700,16800,16330,863710,393066
20170823,16710,16475,16735,16265,832532,370900
20170824,16470,16420,16620,16310,756384,374756
20170825,16410,16720,16935,16350,796220,381114
20170828,16710,16645,16795,16350,583214,371230
20170829,16645,16445,16725,16205,731904,376098
20170830,16520,16395,16520,16235,537050,381540
20170831,16365,16545,16695,16095,805736,379710
20170901,16575,16620,16720,16525,530500,380170
20170904,16615,17165,17410,16590,1043544,403304
20170905,17185,17335,17435,17150,616938,409944
20170906,17500,17570,17840,17200,882434,409100
20170907,17605,17490,17725,17360,756956,408526
20170908,17495,16760,17520,16500,1092626,394108
20170911,16800,16665,16850,16320,726502,387678
20170912,16710,16750,16820,16580,572112,391752
20170913,16705,16775,17055,16630,758170,394282
20170914,16725,16420,16770,16360,779666,388754
20170915,16450,15725,16490,15680,956858,392842
20170918,15790,15210,15820,15055,853950,385936
20170919,15220,14960,15335,14905,616980,390512
20170920,15000,15085,15175,14775,665654,380702
20170921,15120,14515,15190,14440,947200,387530
20170922,14580,14565,14665,14330,689214,374564
20170925,14685,14580,14730,14445,535508,373688
20170926,14605,14625,14825,14490,562254,372248
20170927,14570,14655,14730,14510,446130,368308
20170928,14650,13605,14680,13605,644526,366652
20170929,13500,13495,13550,12905,908032,322566
20171009,13615,13350,13660,13165,414786,333978
20171010,13360,13315,13450,13215,473376,339224
20171011,13320,13245,13475,12920,732788,341652
20171012,13145,13375,13550,13040,671972,341330
20171013,13420,13575,13680,13360,646960,334588
20171016,13600,13580,13930,13405,746286,335468
20171017,13575,13530,13675,13175,730018,330826
20171018,13520,13570,13720,13470,603424,330796
20171019,13600,13365,13785,13320,905204,333818
20171020,13355,13700,13800,13210,672996,322072
20171023,13700,13500,13840,13315,753614,322792
20171024,13500,13425,13630,13360,691724,330444
20171025,13440,13535,13680,13215,678650,316364
20171026,13535,13555,13645,13330,573424,314698
20171027,13570,13330,13615,13120,734474,339184
20171030,13290,13285,13425,13235,456754,336908
20171031,13300,13260,13355,13150,447752,330744
20171101,13285,13595,13855,13280,749974,322278
20171102,13575,13785,13905,13520,582486,319946
20171103,13745,13690,13820,13590,415098,309840
20171106,13670,14135,14235,13650,664656,318544
20171107,14130,13990,14210,13855,492552,304450
20171108,13940,13820,14015,13765,466646,308852
20171109,13840,13805,14150,13725,665294,306714
20171110,13760,13855,13950,13750,406892,302570
20171113,13865,14155,14255,13755,664298,303012
20171114,14120,14105,14295,14060,467968,297136
20171115,14105,13270,14180,13215,693528,277216
20171116,13285,13270,13415,13190,352230,273962
20171117,13325,13295,13400,13250,308578,265204
20171120,13315,13385,13450,13180,342166,259524
20171121,13400,13335,13470,12820,583362,252020
20171122,13365,13390,13460,13270,330630,244842
20171123,13420,13725,13825,13365,514348,226696
20171124,13725,13845,13920,13655,367944,219306
20171127,13850,13410,13955,13320,430178,206304
20171128,13825,13980,14045,13720,310772,234184
20171129,13965,14210,14295,13915,421974,256994
20171130,14175,13915,14375,13850,525600,269204
20171201,13990,14525,14590,13955,680188,306818
20171204,14760,14925,15020,14565,632140,328288
20171205,14945,14715,14950,14575,535360,332458
20171206,14650,14330,14755,14025,615300,317406
20171207,14330,13970,14500,13800,768078,317688
20171208,14010,14065,14150,13855,512426,317742
20171211,14100,14020,14310,13880,663120,320290
20171212,14050,14165,14250,13975,499498,327168
20171213,14165,14080,14260,13935,571220,331210
20171214,14080,14280,14460,13990,732182,333112
